Labels,GrowthForm
Saxifraga_tridactylites,Annual forb
Arenaria_serpyllifolia,Annual forb
Cerastium_fontanum,Forb
Myosotis_ramosissima,Annual forb
Veronica_arvensis,Annual forb
Trillium_grandiflorum,Forb
Allium_vineale,Forb
Epipactis_atrorubens,Forb
Himantoglossum_hircinum,Forb
Orchis_purpurea,Forb
Molinia_caerulea,Perennial graminoid
Bothriochloa_ischaemum,Perennial graminoid
Trollius_laxus,Forb
Trollius_europaeus,Forb
Actaea_spicata,Forb
Ranunculus_peltatus,Forb
Paeonia_officinalis,Forb
Saxifraga_aizoides,Forb
Geranium_sylvaticum,Forb
Alliaria_petiolata,Forb
Sphaeralcea_coccinea,Forb
Linum_tenuifolium,Forb
Agrimonia_eupatoria,Forb
Lathyrus_vernus,Forb
Armeria_maritima,Forb
Minuartia_obtusiloba,Forb
Silene_acaulis,Forb
Primula_elatior,Forb
Primula_vulgaris,Forb
Primula_farinosa,Forb
Sarracenia_purpurea,Forb
Ipomopsis_aggregata,Forb
Succisa_pratensis,Forb
Dipsacus_fullonum,Forb
Sanicula_europaea,Forb
Pimpinella_saxifraga,Forb
Heracleum_mantegazzianum,Forb
Ratibida_columnifera,Forb
Cirsium_acaule,Forb
Carduus_nutans,Forb
Cirsium_pannonicum,Forb
Cirsium_palustre,Forb
Scorzonera_hispanica,Forb
Hieracium_floribundum,Forb
Cynoglossum_officinale,Forb
Gentiana_pneumonanthe,Forb
Digitalis_purpurea,Forb
Plantago_media,Forb
Pinguicula_alpina,Forb
Thymus_vulgaris,Shrub
Astrocaryum_mexicanum,Palm
Petrophile_pulchella,Shrub
Banksia_ericifolia,Shrub
Clidemia_hirta,Shrub
Fumana_procumbens,Shrub
Rosa_multiflora,Shrub
Lupinus_arboreus,Shrub
Cytisus_scoparius,Shrub
Atriplex_canescens,Shrub
Atriplex_vesicaria,Shrub
Oxandra_asbeckii,Tree
Vochysia_ferruginea,Tree
Syzygium_jambos,Tree
Shorea_leprosula,Tree
Acer_saccharum,Tree
Swietenia_macrophylla,Tree
Sapium_sebiferum,Tree
Nothofagus_fusca,Tree
Fagus_grandifolia,Tree
Dicorynia_guianensis,Tree
Vouacapoua_americana,Tree
Pentaclethra_macroloba,Tree
Stryphnodendron_microstachyum,Tree
Bertholletia_excelsa,Tree
Avicennia_germinans,Tree
Tsuga_canadensis,Tree
Abies_concolor,Tree
Pinus_strobus,Tree
Pinus_nigra,Tree
Pinus_ponderosa,Tree
